input_name,input_ra,input_dec,sep_deg,Source_Name,ASSOC1,RAJ2000,DEJ2000,SpectrumType,ASSOC2,ASSOC_FGL,DEC_Counterpart,Energy_Flux100,Flags,Flux1000,Flux_Band,Flux_Peak,LP_EPeak,LP_Flux_Density,LP_Index,LP_SigCurv,LP_beta,PL_Flux_Density,PL_Index,Pivot_Energy,RA_Counterpart,Signif_Avg,Signif_Peak,Sqrt_TS_Band,Unc_Counterpart,Unc_Energy_Flux100,Unc_Flux1000,Unc_Flux_Band,Unc_Flux_Peak,Unc_LP_EPeak,Unc_LP_Flux_Density,Unc_LP_Index,Unc_LP_beta,Unc_PL_Flux_Density,Unc_PL_Index,nuFnu_Band
NGC1275,49.9507,41.5117,0.00913,FL16Y J0319.8+4130 ,NGC 1275                    ,49.9627,41.5133,LogParabola      ,                              ,4FGL J0319.8+4130 ,41.5116960278,2.9339312e-10,0,3.1659745e-08,"[2.9807532e-07 2.1561078e-07 8.5421838e-08 2.3458430e-08 6.7299992e-09
 1.2706006e-09 2.0041173e-10 2.2526304e-11]",7.8353065e-07,648.2315,3.705838e-11,2.0616605,19.964344,0.07087797,3.3417276e-11,2.125525,1001.4698,49.9506671417,266.09067,138.39456,"[ 11.841061  44.59077  111.53005  165.59467  159.89587   91.54591
  38.9324    13.404085]",7.5e-08,2.5920449e-12,2.464335e-10,"[[-2.69012546e-08  2.69012546e-08]
 [-5.99423933e-09  5.99423933e-09]
 [-1.10188247e-09  1.10188247e-09]
 [-2.63733924e-10  2.63733924e-10]
 [-1.08660754e-10  1.08660754e-10]
 [-4.31495881e-11  4.31495881e-11]
 [-1.67825007e-11  1.67825007e-11]
 [-5.14237567e-12  6.05002073e-12]]",1.0442708e-08,39.736336,2.9566058e-13,0.0068876934,0.0033396361,2.2629019e-13,0.004707342,"[4.8352503e-11 5.2779729e-11 5.8812726e-11 5.5604167e-11 4.4605753e-11
 2.9185356e-11 1.2804347e-11 2.9476846e-12]"
ThreeC111,64.59,38.03,0.12302,FL16Y J0418.1+3808 ,3C 111                      ,64.5322,38.1443,LogParabola      ,                              ,4FGL J0418.2+3807 ,38.0266111556,1.3195653e-11,4,6.240302e-10,"[4.5708479e-08 2.9171140e-08 5.5485692e-09 5.5142119e-10 5.4140682e-11
 5.2295052e-12 3.7136431e-16 3.8859368e-16]",7.047922e-08,89.62259,4.247809e-12,2.8286092,4.300442,0.20525868,3.1926623e-12,2.7656927,674.55865,64.5886550833,13.595063,9.606052,"[1.7242846 6.4247823 9.822951  6.798334  3.3195055 1.2558581 0.
 0.       ]",8.2e-08,1.1641872e-12,7.2740286e-11,"[[-2.6198578e-08  2.3400530e-08]
 [-4.6489803e-09  4.7208570e-09]
 [-5.9637240e-10  6.0312955e-10]
 [-8.8326887e-11  9.0707525e-11]
 [-1.8274729e-11  2.0045592e-11]
 [-4.3089252e-12  5.6331649e-12]
 [           nan  2.1960014e-12]
 [           nan  2.2362708e-12]]",7.885502e-09,51.607555,3.7915772e-13,0.08881393,0.06164545,2.5650125e-13,0.051982045,"[7.3377623e-12 6.8074782e-12 3.4973389e-12 1.1847911e-12 3.1207640e-13
 1.0474954e-13 1.9935521e-17 3.6004211e-17]"
NGC4151,182.64,39.41,0.07715,FL16Y J1210.4+3928 ,1E 1207.9+3945              ,182.6028,39.4816,PowerLaw         ,                              ,4FGL J1210.3+3928 ,39.4858283996582,1.1572662e-12,0,1.0052304e-10,"[1.6897437e-09 1.8194910e-09 4.1468878e-10 5.1421981e-11 2.1215316e-11
 2.2228133e-12 2.6901779e-12 1.3386938e-12]",-inf,nan,1.1405017e-14,2.2420778,0.8782917,-0.052606773,1.2757037e-14,2.2119837,2778.024,182.6111297607422,6.302654,-inf,"[0.43021917 1.419492   2.8668938  2.6237478  3.4443338  2.0363262
 3.6896627  3.39735   ]",0.0045,2.728275e-13,2.1238532e-11,"[[           nan  4.1843626e-09]
 [-1.2598596e-09  1.2309422e-09]
 [-1.4907771e-10  1.5364629e-10]
 [-2.1425209e-11  2.3577916e-11]
 [-7.9071376e-12  9.0586687e-12]
 [-1.5975933e-12  2.8948341e-12]
 [-1.5116535e-12  2.4203883e-12]
 [-9.4253641e-13  1.8306552e-12]]",-inf,nan,2.8122807e-15,0.12514186,0.047741894,2.6600805e-15,0.16065481,"[2.6843100e-13 4.2823132e-13 2.7773167e-13 1.2102563e-13 1.4208643e-13
 5.2315635e-14 1.8017068e-13 2.1908671e-13]"
NGC1142,43.8,-0.18,1.30513,FL16Y J0253.2-0123 ,FBQS J0253-0124             ,43.3198,-1.3936,PowerLaw         ,                              ,4FGL J0253.2-0124 ,-1.40150678056,3.2494263e-12,0,2.916342e-10,"[3.6606593e-09 1.9186848e-09 5.7574889e-10 2.1713997e-10 7.9707969e-11
 1.6180389e-11 7.2005210e-12 1.7000328e-17]",-inf,3607.2327,4.778055e-14,1.9518409,1.5931698,0.07661367,4.242265e-14,2.0178947,2634.3667,43.31502545,13.94871,-inf,"[0.7905608 1.6188304 3.5725725 7.669729  9.08066   5.783493  5.4220347
 0.       ]",7.5e-07,3.5359758e-13,3.164001e-11,"[[            nan  3.37259887e-09]
 [-1.18565313e-09  1.23106869e-09]
 [-1.68919753e-10  1.74344456e-10]
 [-3.58088108e-11  3.78686527e-11]
 [-1.42972075e-11  1.56638383e-11]
 [-5.29030725e-12  6.60430391e-12]
 [-3.04315709e-12  4.21529088e-12]
 [            nan  2.49468588e-12]]",-inf,2258.4429,6.1424936e-15,0.105233826,0.05299459,4.6024285e-15,0.07577825,"[5.8602830e-13 4.6026166e-13 3.9447411e-13 5.2088390e-13 5.4611887e-13
 3.8814153e-13 4.9334338e-13 3.0045102e-18]"
CygA,299.87,40.73,1.52557,FL16Y J2000.1+4215 ,MG4 J195957+4213            ,300.0309,42.2508,PowerLaw         ,                              ,4FGL J2000.0+4214 ,42.2296503583,2.8543134e-12,0,2.1650644e-10,"[1.4662473e-08 8.3729539e-09 9.2086194e-10 1.5423933e-10 3.7805252e-11
 8.6095601e-12 8.2339268e-13 9.8942675e-13]",2.5105338e-08,nan,4.6823185e-14,2.415646,0.3929899,-0.04514151,4.9765178e-14,2.3977292,2124.1704,299.994870204,5.405071,5.386065,"[0.76113164 1.9452662  2.4921904  3.217366   3.7661273  2.799696
 0.42746615 0.66319513]",2.4e-07,7.440432e-13,4.0961918e-11,"[[           nan  1.6086917e-08]
 [-4.3716413e-09  4.4046495e-09]
 [-3.7544629e-10  3.7735412e-10]
 [-5.0326784e-11  5.2347449e-11]
 [-1.1938198e-11  1.3175653e-11]
 [-4.2712752e-12  5.4935999e-12]
 [           nan  3.3915347e-12]
 [           nan  2.6753734e-12]]",5.321523e-09,nan,1.0096212e-14,0.14559247,0.069268234,9.410151e-15,0.17684443,"[2.3120650e-12 1.9352013e-12 6.0354786e-13 3.5648605e-13 2.4778175e-13
 1.9898871e-13 5.3966492e-14 1.5099304e-13]"
Mrk348,12.1964,31.957,1.58091,FL16Y J0041.3+3210 ,TXS 0038+319                ,10.3481,32.1712,PowerLaw         ,                              ,4FGL J0040.9+3203 ,32.1854352694,1.9527826e-12,0,1.6150864e-10,"[1.9302171e-09 2.9676173e-09 5.7540323e-10 1.2958926e-10 2.7010578e-11
 6.6778952e-12 1.5951141e-12 1.5381456e-13]",-inf,20.28442,6.8794424e-14,2.2815692,0.348896,0.03195437,6.534605e-14,2.294951,1661.7983,10.3163916583,7.1548524,-inf,"[0.25821438 2.2520583  3.484796   4.5414596  3.6230001  3.1590402
 2.0363176  0.07893047]",6.843789e-08,3.2825798e-13,2.6146394e-11,"[[           nan  5.8658407e-09]
 [-1.3396106e-09  1.3577890e-09]
 [-1.7110097e-10  1.7617417e-10]
 [-3.2361530e-11  3.4146866e-11]
 [-9.3052259e-12  1.0442530e-11]
 [-3.2062495e-12  4.4295730e-12]
 [-1.1657048e-12  2.2215402e-12]
 [           nan  2.9290628e-12]]",-inf,212.62361,1.3002587e-14,0.13571307,0.071133874,1.0398385e-14,0.118956886,"[3.0563662e-13 6.9289550e-13 3.8171614e-13 3.0257209e-13 1.7918519e-13
 1.5591914e-13 1.0581811e-13 2.4399452e-14]"
Mrk1498,247.02,51.78,0.71062,FL16Y J1630.7+5221 ,TXS 1629+524                ,247.6875,52.3602,LogParabola      ,                              ,4FGL J1630.7+5221 ,52.3607288528,1.4590093e-11,0,1.5535232e-09,"[1.47606976e-08 7.73546649e-09 3.22789528e-09 1.07593690e-09
 3.41990686e-10 1.15078266e-10 1.81356336e-11 2.53585542e-12]",2.366789e-08,2405.5461,1.1311553e-12,1.9164411,4.4591675,0.059033975,1.065049e-12,2.0138485,1185.3741,247.679777962,62.555157,29.449505,"[ 1.6312957  7.3316975 24.447617  37.593876  33.260918  25.798153
 10.441637   3.7292032]",2.2e-07,5.844073e-13,4.838976e-11,"[[-9.2071550e-09  9.2279864e-09]
 [-1.1105927e-09  1.1541916e-09]
 [-1.6865907e-10  1.6865907e-10]
 [-4.8206269e-11  4.8206269e-11]
 [-2.1993643e-11  2.1993643e-11]
 [-1.1504101e-11  1.2274603e-11]
 [-4.2486574e-12  5.0000303e-12]
 [-1.3905164e-12  2.1491528e-12]]",1.4948749e-09,511.04395,3.60785e-14,0.0335922,0.014096144,3.0490696e-14,0.021122051,"[2.4042563e-12 1.9170967e-12 2.2625868e-12 2.5953749e-12 2.3213087e-12
 2.7029247e-12 1.1928799e-12 3.6419560e-13]"
NGC3227,155.88,19.87,1.47658,FL16Y J1018.1+1905 ,NVSS J101808+190614         ,154.5436,19.0999,PowerLaw         ,                              ,4FGL J1018.1+1905 ,19.10430908203125,3.451424e-12,0,3.1052488e-10,"[4.3052548e-09 3.2948766e-09 6.0553812e-10 2.7519262e-10 5.1959839e-11
 2.1561681e-11 6.2322374e-12 8.9702741e-17]",8.138153e-09,625.33405,6.3904855e-14,2.0602028,0.4106589,0.02337748,6.15783e-14,2.081566,2266.3171,154.532958984375,15.107975,7.7021856,"[ 0.8508117  2.770735   3.9753582 10.113027   6.846493   7.309441
  5.279318   0.       ]",0.0045,3.3894561e-13,3.053823e-11,"[[           nan  4.5115058e-09]
 [-1.2348320e-09  1.2419105e-09]
 [-1.6083693e-10  1.6613255e-10]
 [-3.6254551e-11  3.8429447e-11]
 [-1.1576556e-11  1.2977861e-11]
 [-5.9978350e-12  7.2076962e-12]
 [-2.6758537e-12  3.7521527e-12]
 [           nan  2.9433519e-12]]",1.730173e-09,2427.2163,7.554362e-15,0.09314806,0.045652136,6.0470872e-15,0.075866014,"[6.8747010e-13 7.8542300e-13 4.1177012e-13 6.5599609e-13 3.5333048e-13
 5.1398106e-13 4.2379641e-13 1.5449955e-17]"
UGC11910,331.76,10.23,0.67772,FL16Y J2204.9+0946 ,                            ,331.2497,9.7753,LogParabola      ,                              ,4FGL J2205.0+0943 ,nan,7.977676e-13,0,1.4210594e-10,"[4.4237851e-14 1.3061480e-10 2.4563573e-10 1.1773858e-10 2.3242611e-11
 5.7181998e-16 2.7369061e-18 8.0588078e-17]",-inf,1268.1323,7.3043344e-14,2.2204022,3.0354304,0.4667663,4.1665784e-14,2.3414972,1605.8287,nan,4.3906093,-inf,"[0.         0.18385698 2.0254998  4.5360937  3.1742435  0.
 0.         0.        ]",nan,2.0591406e-13,3.1225897e-11,"[[           nan  6.1110463e-09]
 [           nan  7.6467149e-10]
 [-1.2437114e-10  1.3282069e-10]
 [-3.0711166e-11  3.3070893e-11]
 [-8.9130569e-12  1.0443701e-11]
 [           nan  3.6348077e-12]
 [           nan  2.3477884e-12]
 [           nan  2.5513053e-12]]",-inf,452.0496,1.7204735e-14,0.29918787,0.19402102,1.0574349e-14,0.15340416,"[7.6682745e-18 3.7682690e-14 1.8543213e-13 2.7500818e-13 1.3752176e-13
 1.1191694e-17 1.4288059e-19 7.4666939e-18]"
NGC4051,180.79,44.53,0.23737,FL16Y J1202.3+4443 ,B3 1159+450                 ,180.5918,44.7209,PowerLaw         ,                              ,4FGL J1202.4+4442 ,44.7395766389,1.0402429e-12,0,7.6027365e-11,"[3.9705981e-09 1.4145256e-09 2.3379956e-10 8.2142119e-11 9.5449976e-12
 2.9360655e-12 5.5363192e-20 2.0852437e-17]",-inf,3.2446678,6.1426416e-14,2.3943052,0.0,0.032953724,5.911312e-14,2.4344532,1286.556,180.536094,4.9826493,-inf,"[0.66711694 1.2747899  2.120928   4.940204   1.7031465  2.310543
 0.         0.        ]",3.1e-07,2.410857e-13,1.664337e-11,"[[            nan  5.38728306e-09]
 [-1.09763720e-09  1.09975407e-09]
 [-1.12701834e-10  1.18003149e-10]
 [-1.94704322e-11  2.19403679e-11]
 [-6.15325239e-12  7.38822545e-12]
 [-1.80692147e-12  2.84635206e-12]
 [            nan  2.02966572e-12]
 [            nan  1.89852539e-12]]",-inf,72.631134,1.4652625e-14,0.23028293,0.11191926,1.2107296e-14,0.17660457,"[6.2525224e-13 3.2584764e-13 1.5263184e-13 1.8922114e-13 6.2312799e-14
 6.7634686e-14 3.6142865e-21 3.1429749e-18]"
