Source	RA	Dec	F_14-195
NGC1275	49.9507	41.5117	79.2
ThreeC111	64.59	38.03	118.7
NGC1142	43.8	-0.18	123.7
CygA	299.87	40.73	137.9
Mrk348	12.1964	31.957	159
Mrk1498	247.02	51.78	42.78
NGC3227	155.88	19.87	106.6
UGC11910	331.76	10.23	60.8
NGC4051	180.79	44.53	43.15
UGC3374	88.72	46.44	132.9
NGC7603	349.74	0.24	51.5
Mrk1040	37.06	31.31	61.1
ESO565_G019	143.6815	-21.9278	17.08
TwoMASXJ20145928_2523010	303.75	25.38	73.6
NGC4102	181.6	52.71	71.8
Q0241_622	41.24	62.47	89.6
AXJ1737_4_2907	264.3681	-29.134	107.36
NGC4388	186.44	12.66	323
LEDA168563	73.02	49.55	58.7
NGC5548	214.5	25.14	75.9
MCG_4_48_2	307.15	25.73	63.9
LEDA138501	32.41	52.44	55.93
ThreeC445	335.96	-2.1	55.2
NGC1194	45.95	-1.1	114.5
NGC7319	339.01	33.98	32.46
NGC6240	253.25	2.4	348.2
LEDA86269	71.04	28.22	41.94
CGCG420_015	73.36	4.06	28.21
IGRJ21277_5656	321.94	56.94	41.94
NGC7679	352.2662	3.53333	16.11
NGC7682	352.27	3.53	55.8
FourC50_55	321.16	50.97	217.3
ThreeC382	278.76	32.7	75
LEDA166445	42.68	54.7	23.9
Mrk1210	121.02	5.11	61.5
NGC5252 	204.57	4.54	106.3
NGC7469	345.82	8.87	64.3
IRAS05589_2828	90.54	28.47	62.4
NGC1068	40.67	-0.01	206
ESO506_G027	189.7275	-27.3078	83.69
Mrk110	141.3	52.29	57.1
Mrk120	79.05	-0.15	68
MCG_08_03_018	20.6435	50.055	13.6
Z164_19	221.4	27.03	250.1
IRAS05078_1626	77.69	16.5	92.3
NGC4992	197.27	11.63	66.8
Mrk417	162.38	22.96	50
NGC5506	213.3119	-3.2075	234.7
Mrk79	115.64	49.81	50.28
NGC3079	150.49	55.68	112.6
