Source,RA,Dec,F_14-195,Normed_weights
NGC1275,49.9507,41.5117,79.2,0.12809998047256396
ThreeC111,64.59,38.03,118.7,0.20523335286076938
NGC4151,182.64,39.41,525.7,1.0
NGC1142,43.8,-0.18,123.7,0.21499707088459286
CygA,299.87,40.73,137.9,0.24272603007225152
Mrk348,12.1964,31.957,159.0,0.2839289201327866
Mrk1498,247.02,51.78,42.78,0.05698105838703378
NGC3227,155.88,19.87,106.6,0.18160515524311657
UGC11910,331.76,10.23,60.8,0.09216949814489356
NGC4051,180.79,44.53,43.15,0.05770357352079671
UGC3374,88.72,46.44,132.9,0.23296231204842804
NGC7603,349.74,0.24,51.5,0.0740089826205819
Mrk1040,37.06,31.31,61.1,0.09275532122632298
ESO565_G019,143.6815,-21.9278,17.08,0.006795547744581134
TwoMASXJ20145928_2523010,303.75,25.38,73.6,0.11716461628588165
NGC4102,181.6,52.71,71.8,0.1136496777973052
Q0241_622,41.24,62.47,89.6,0.14840851396211677
AXJ1737_4_2907,264.3681,-29.134,107.36,0.18308924038273774
NGC4388,186.44,12.66,323.0,0.6041788713141963
LEDA168563,73.02,49.55,58.7,0.08806873657488772
NGC5548,214.5,25.14,75.9,0.12165592657684046
MCG_4_48_2,307.15,25.73,63.9,0.09822300331966412
LEDA138501,32.41,52.44,55.93,0.0826596367896895
ThreeC445,335.96,-2.1,55.2,0.08123413395821129
NGC1194,45.95,-1.1,114.5,0.19703182972075767
NGC7319,339.01,33.98,32.46,0.03682874438586213
NGC6240,253.25,2.4,348.2,0.6533880101542666
LEDA86269,71.04,28.22,41.94,0.05534075375903143
CGCG420_015,73.36,4.06,28.21,0.028529584065612186
IGRJ21277_5656,321.94,56.94,41.94,0.05534075375903143
NGC7679,352.2662,3.53333,16.11,0.004901386447959382
NGC7682,352.27,3.53,55.8,0.0824057801210701
FourC50_55,321.16,50.97,217.3,0.39777387229056826
ThreeC382,278.76,32.7,75.0,0.11989845733255222
LEDA166445,42.68,54.7,23.9,0.020113259129076348
Mrk1210,121.02,5.11,61.5,0.09353641866822886
NGC5252,204.57,4.54,106.3,0.18101933216168717
NGC7469,345.82,8.87,64.3,0.09900410076157
IRAS05589_2828,90.54,28.47,62.4,0.09529388791251708
NGC1068,40.67,-0.01,206.0,0.3757078695567272
ESO506_G027,189.7275,-27.3078,83.69,0.13686779925795742
Mrk110,141.3,52.29,57.1,0.0849443468072642
Mrk120,79.05,-0.15,68.0,0.10622925209919937
MCG_08_03_018,20.6435,50.055,13.6,0.0
Z164_19,221.4,27.03,250.1,0.4618238625268502
IRAS05078_1626,77.69,16.5,92.3,0.15368092169498146
NGC4992,197.27,11.63,66.8,0.10388595977348172
Mrk417,162.38,22.96,50.0,0.07107986721343487
NGC5506,213.3119,-3.2075,234.7,0.4317516110134739
Mrk79,115.64,49.81,50.28,0.07162663542276898
NGC3079,150.49,55.68,112.6,0.19332161687170474
