excludedSource,pivot,indminNorm,TS
NGC1275,1.0,2.0013963767660298e-27,-0.018257498741149902
NGC1275,5.0,5.488023060973707e-26,7.296409606933594
NGC1275,10.0,2.015243525521556e-30,-0.021387696266174316
ThreeC111,1.0,1.9911904198173737e-27,-0.019519567489624023
ThreeC111,5.0,3.7167828795181175e-26,2.862167239189148
ThreeC111,10.0,1.9979740031578765e-30,-0.022897720336914062
NGC1142,1.0,1.979344885498229e-27,-0.016980409622192383
NGC1142,5.0,4.4034401497236477e-26,3.8564733266830444
NGC1142,10.0,2.000676314043475e-30,-0.021512866020202637
CygA,1.0,2.6531595129812912e-27,-0.026384472846984863
CygA,5.0,2.801924091929186e-26,5.454271674156189
CygA,10.0,1.3845605658171003e-30,-0.028658747673034668
Mrk348,1.0,1.9863298478206102e-27,-0.021024107933044434
Mrk348,5.0,5.1711853087222e-26,6.185717225074768
Mrk348,10.0,1.9191168869003944e-30,-0.025618672370910645
Mrk1498,1.0,3.238383218657395e-27,-0.018136262893676758
Mrk1498,5.0,9.352346840635945e-26,24.024181127548218
Mrk1498,10.0,2.0549474640909106e-30,-0.018379807472229004
NGC3227,1.0,2.0824382726896308e-27,-0.017533183097839355
NGC3227,5.0,7.028413680909832e-26,12.004907369613647
NGC3227,10.0,2.0222775081895292e-30,-0.020312786102294922
UGC11910,1.0,2.018510187397572e-27,-0.01630115509033203
UGC11910,5.0,8.237986632002596e-26,17.958232283592224
UGC11910,10.0,2.0359039059932903e-30,-0.01959228515625
NGC4051,1.0,2.0050752630638375e-27,-0.015612959861755371
NGC4051,5.0,9.350040828847965e-26,23.678379893302917
NGC4051,10.0,2.0540381749263876e-30,-0.018689632415771484
UGC3374,1.0,2.010773602405374e-27,-0.017083287239074707
UGC3374,5.0,7.883361427354374e-26,15.313717246055603
UGC3374,10.0,2.054098323148633e-30,-0.020081520080566406
NGC7603,1.0,2.0219965471759845e-27,-0.01627194881439209
NGC7603,5.0,8.979941281922403e-26,21.646327018737793
NGC7603,10.0,2.0554817831309282e-30,-0.019292473793029785
Mrk1040,1.0,1.936943433459222e-27,-0.016562700271606445
Mrk1040,5.0,9.760319815598499e-26,25.010319352149963
Mrk1040,10.0,2.0514040053541527e-30,-0.018638253211975098
ESO565_G019,1.0,2.013144304660999e-27,-0.014891743659973145
ESO565_G019,5.0,1.0185443617233259e-25,27.735439896583557
ESO565_G019,10.0,2.0517734196256408e-30,-0.017933011054992676
TwoMASXJ20145928_2523010,1.0,1.4984138489837348e-26,-0.10538589954376221
TwoMASXJ20145928_2523010,5.0,1.0169011037314002e-25,26.38185942173004
TwoMASXJ20145928_2523010,10.0,2.0894602013801974e-30,-0.01883375644683838
NGC4102,1.0,2.0337788575969666e-27,-0.015325784683227539
NGC4102,5.0,9.928487770658161e-26,26.03964626789093
NGC4102,10.0,2.1169232827848704e-30,-0.01917707920074463
Q0241_622,1.0,2.0331765764982368e-27,-0.014881134033203125
Q0241_622,5.0,1.0326645973586628e-25,27.880590558052063
Q0241_622,10.0,2.1245501054145025e-30,-0.018892645835876465
AXJ1737_4_2907,1.0,2.024186571379786e-27,-0.014878153800964355
AXJ1737_4_2907,5.0,1.036362309859422e-25,28.141574144363403
AXJ1737_4_2907,10.0,2.0560530794343656e-30,-0.017820358276367188
NGC4388,1.0,2.0139820580623067e-27,-0.017720699310302734
NGC4388,5.0,1.1718220541663398e-25,29.978019952774048
NGC4388,10.0,2.0034722190630896e-30,-0.02142632007598877
LEDA168563,1.0,2.0350725291453414e-27,-0.014275074005126953
LEDA168563,5.0,1.0397181971682042e-25,29.204240083694458
LEDA168563,10.0,2.0555887883552523e-30,-0.017667770385742188
NGC5548,1.0,3.2296507337737208e-27,-0.016578197479248047
NGC5548,5.0,1.040552374468636e-25,28.629717707633972
NGC5548,10.0,3.146672451110256e-30,-0.022446870803833008
MCG_4_48_2,1.0,3.282222998064882e-27,-0.01836836338043213
MCG_4_48_2,5.0,9.990982151591358e-26,24.7068532705307
MCG_4_48_2,10.0,2.054076320434813e-30,-0.019170284271240234
LEDA138501,1.0,3.235487962242825e-27,-0.01720571517944336
LEDA138501,5.0,1.0470779509371771e-25,28.25922155380249
LEDA138501,10.0,2.0325318516027988e-30,-0.01807570457458496
ThreeC445,1.0,2.0356704393934183e-27,-0.01470482349395752
ThreeC445,5.0,1.0369655242115553e-25,30.561095595359802
ThreeC445,10.0,2.1352370159772802e-30,-0.01896798610687256
NGC1194,1.0,1.9915921322208493e-27,-0.015833497047424316
NGC1194,5.0,9.210968179823386e-26,21.883581280708313
NGC1194,10.0,2.0389912258083634e-30,-0.019077062606811523
NGC7319,1.0,3.322466431792248e-27,-0.016474127769470215
NGC7319,5.0,1.0447705681199762e-25,30.977380514144897
NGC7319,10.0,2.0561321987564273e-30,-0.017578601837158203
NGC6240,1.0,2.1140422352713977e-27,-0.015247583389282227
NGC6240,5.0,9.344921830801648e-26,21.71191644668579
NGC6240,10.0,1.9065693056023986e-30,-0.019337773323059082
LEDA86269,1.0,2.0260419308317142e-27,-0.01553809642791748
LEDA86269,5.0,1.1172672984617073e-25,33.15192174911499
LEDA86269,10.0,2.0451028042829926e-30,-0.017061829566955566
CGCG420_015,1.0,2.0776193530065565e-27,-0.015622854232788086
CGCG420_015,5.0,1.0470475192489496e-25,27.92647612094879
CGCG420_015,10.0,2.053954429966067e-30,-0.01829087734222412
IGRJ21277_5656,1.0,3.291696292820676e-27,-0.016903996467590332
IGRJ21277_5656,5.0,1.0379130569669614e-25,28.804763913154602
IGRJ21277_5656,10.0,2.1289659451875764e-30,-0.018825650215148926
NGC7679,1.0,2.0268251804166222e-27,-0.014698266983032227
NGC7679,5.0,1.0337624830467042e-25,27.97145450115204
NGC7679,10.0,2.0485248613383994e-30,-0.01774585247039795
NGC7682,1.0,2.003089379871298e-27,-0.015184998512268066
NGC7682,5.0,1.028851424483091e-25,28.185626983642578
NGC7682,10.0,2.054042298438559e-30,-0.017419934272766113
FourC50_55,1.0,2.029026426862675e-27,-0.013950109481811523
FourC50_55,5.0,1.1172245870378088e-25,33.784483790397644
FourC50_55,10.0,2.0562254671990265e-30,-0.0169447660446167
ThreeC382,1.0,3.241681931909329e-27,-0.014296889305114746
ThreeC382,5.0,1.2832367642631215e-25,41.936710596084595
ThreeC382,10.0,2.022395704548217e-30,-0.016186237335205078
LEDA166445,1.0,2.0435095731885246e-27,-0.014687776565551758
LEDA166445,5.0,1.0465560085895336e-25,28.03419864177704
LEDA166445,10.0,2.129674461738644e-30,-0.01878654956817627
Mrk1210,1.0,3.2620629628380196e-27,-0.016765356063842773
Mrk1210,5.0,1.052955930455234e-25,31.221075892448425
Mrk1210,10.0,2.057171911866234e-30,-0.01777362823486328
NGC5252,1.0,1.201968827975825e-26,-0.0723109245300293
NGC5252,5.0,1.2503701950584862e-25,39.99899661540985
NGC5252,10.0,1.8192869885622806e-30,-0.021236896514892578
NGC7469,1.0,2.1064613176394967e-27,-0.013148069381713867
NGC7469,5.0,1.2625741662315838e-25,41.93160557746887
NGC7469,10.0,1.7666029504974853e-30,-0.02084529399871826
IRAS05589_2828,1.0,3.237919838008244e-27,-0.01633286476135254
IRAS05589_2828,5.0,1.1259348596693688e-25,32.94547176361084
IRAS05589_2828,10.0,2.055365895848367e-30,-0.017686128616333008
NGC1068,1.0,3.294662822161186e-27,-0.008962392807006836
NGC1068,5.0,1.0451364566502251e-25,28.005548238754272
NGC1068,10.0,5.0461955138944526e-30,-0.027202129364013672
ESO506_G027,1.0,2.034136882023518e-27,-0.014689326286315918
ESO506_G027,5.0,1.035925761112952e-25,29.1264328956604
ESO506_G027,10.0,2.0560397393233255e-30,-0.017726659774780273
