excludedSource,pivot,indminNorm,TS
NGC1275,1.0,3.8007263636822706e-29,-0.01653885841369629
NGC1275,5.0,1.2466749924648774e-30,-0.019605278968811035
NGC1275,10.0,2.229670233323166e-31,-0.021779656410217285
ThreeC111,1.0,3.1865596154518194e-29,-0.016810059547424316
ThreeC111,5.0,1.2771547581313594e-30,-0.01928126811981201
ThreeC111,10.0,2.2956752077128073e-31,-0.020107507705688477
NGC1142,1.0,3.501404284199716e-29,-0.016697287559509277
NGC1142,5.0,1.3522966895208984e-30,-0.01949751377105713
NGC1142,10.0,2.3356208535106356e-31,-0.020949482917785645
CygA,1.0,3.252856728065846e-29,-0.016317248344421387
CygA,5.0,1.6904008563305516e-30,-0.01733231544494629
CygA,10.0,2.3114003019024236e-31,-0.02123868465423584
Mrk348,1.0,2.270578263098809e-29,-0.018206357955932617
Mrk348,5.0,1.6683416384935007e-30,-0.01664566993713379
Mrk348,10.0,2.36988557119509e-31,-0.020371437072753906
Mrk1498,1.0,1.9643500300940367e-29,-0.017447948455810547
Mrk1498,5.0,1.3004577560356114e-30,-0.01792585849761963
Mrk1498,10.0,2.2956752077128073e-31,-0.01915109157562256
NGC3227,1.0,4.787981372651133e-29,-0.013799190521240234
NGC3227,5.0,1.305849967832913e-30,-0.018527865409851074
NGC3227,10.0,2.231093764819391e-31,-0.0212172269821167
UGC11910,1.0,2.1402637465490583e-29,-0.01937544345855713
UGC11910,5.0,1.2839724551738858e-30,-0.01884615421295166
UGC11910,10.0,2.2423614478794015e-31,-0.02140223979949951
NGC4051,1.0,4.193185120595076e-29,-0.015863656997680664
NGC4051,5.0,1.2486730906640849e-30,-0.01925206184387207
NGC4051,10.0,2.230604169055846e-31,-0.021602630615234375
UGC3374,1.0,2.5146338155203562e-29,-0.01751255989074707
UGC3374,5.0,1.670692571551205e-30,-0.01710677146911621
UGC3374,10.0,2.157338433362527e-31,-0.021594524383544922
NGC7603,1.0,2.5203578963088148e-29,-0.018045425415039062
NGC7603,5.0,1.2503916846170727e-30,-0.01934492588043213
NGC7603,10.0,2.224741986578319e-31,-0.021613121032714844
Mrk1040,1.0,4.883516742792499e-29,-0.014930129051208496
Mrk1040,5.0,1.2759673546450079e-30,-0.01918768882751465
Mrk1040,10.0,2.1841070042236658e-31,-0.021842360496520996
ESO565_G019,1.0,1.8550210258615879e-29,-0.015365242958068848
ESO565_G019,5.0,1.2645384916853271e-30,-0.015001177787780762
ESO565_G019,10.0,2.2956752077128073e-31,-0.016264677047729492
TwoMASXJ20145928_2523010,1.0,2.569766318633524e-29,-0.017459630966186523
TwoMASXJ20145928_2523010,5.0,1.687273147455436e-30,-0.01734638214111328
TwoMASXJ20145928_2523010,10.0,2.2366997916351174e-31,-0.02132415771484375
NGC4102,1.0,3.790941603191289e-29,-0.0157012939453125
NGC4102,5.0,1.2793887404738251e-30,-0.01898503303527832
NGC4102,10.0,2.202967279894105e-31,-0.021652936935424805
Q0241_622,1.0,3.793866777438043e-29,-0.01583099365234375
Q0241_622,5.0,1.272947176737906e-30,-0.019086003303527832
Q0241_622,10.0,2.217962444103702e-31,-0.021657109260559082
AXJ1737_4_2907,1.0,2.4584527909943266e-29,-0.01804196834564209
AXJ1737_4_2907,5.0,1.2677761688122081e-30,-0.019019126892089844
AXJ1737_4_2907,10.0,2.2083594662153384e-31,-0.021645665168762207
NGC4388,1.0,4.346818991234274e-29,-0.013126373291015625
NGC4388,5.0,1.4483657419916578e-30,-0.01689624786376953
NGC4388,10.0,4.553773778178228e-31,-0.016143083572387695
